Date,Open,High,Low,Close
1-October-2009,,,,6302.01,
5-October-2009,,,,6195.79,
6-October-2009,,,,6207.43,
7-October-2009,,,,6295.06,
8-October-2009,,,,6344.91,
9-October-2009,,,,6301.38,
12-October-2009,,,,6378.46,
14-October-2009,,,,6503.23,
15-October-2009,,,,6539.23,
16-October-2009,,,,6608.49,
17-October-2009,,,,6651.56,
20-October-2009,,,,6655.49,
21-October-2009,,,,6584.00,
22-October-2009,,,,6444.27,
23-October-2009,,,,6510.89,
26-October-2009,,,,6393.72,
27-October-2009,,,,6157.48,
28-October-2009,,,,6166.89,
29-October-2009,,,,6046.79,
30-October-2009,,,,6014.30,
3-November-2009,,,,5789.49,
4-November-2009,,,,5994.40,
5-November-2009,,,,6115.44,
6-November-2009,,,,6254.36,
9-November-2009,,,,6377.36,
10-November-2009,,,,6349.94,
11-November-2009,,,,6477.61,
12-November-2009,,,,6417.13,
13-November-2009,,,,6418.65,
16-November-2009,,,,6491.80,
17-November-2009,,,,6486.46,
18-November-2009,,,,6505.03,
19-November-2009,,,,6396.59,
20-November-2009,,,,6465.61,
23-November-2009,,,,6485.81,
24-November-2009,,,,6500.64,
25-November-2009,,,,6493.16,
26-November-2009,,,,6399.03,
27-November-2009,,,,6312.76,
30-November-2009,,,,6415.47,
1-December-2009,,,,6528.76,
2-December-2009,,,,6587.68,
3-December-2009,,,,6613.55,
4-December-2009,,,,6600.97,
7-December-2009,,,,6548.93,
8-December-2009,,,,6634.45,
9-December-2009,,,,6595.78,
10-December-2009,,,,6614.04,
11-December-2009,,,,6574.49,
14-December-2009,,,,6530.75,
15-December-2009,,,,6428.78,
16-December-2009,,,,6443.19,
17-December-2009,,,,6513.30,
18-December-2009,,,,6470.58,
21-December-2009,,,,6440.90,
22-December-2009,,,,6491.46,
23-December-2009,,,,6593.67,
24-December-2009,,,,6641.14,
29-December-2009,,,,6674.47,
30-December-2009,,,,6696.75,
31-December-2009,,,,6717.82,
4-January-2010,,,,6817.35,
5-January-2010,,,,6898.95,
6-January-2010,,,,6945.94,
7-January-2010,,,,6944.62,
8-January-2010,,,,6946.00,
11-January-2010,,,,7008.42,
12-January-2010,,,,6928.31,
13-January-2010,,,,6969.84,
14-January-2010,,,,7029.65,
15-January-2010,,,,7050.41,
18-January-2010,,,,7090.75,
19-January-2010,,,,7045.91,
20-January-2010,,,,7026.92,
21-January-2010,,,,6858.73,
22-January-2010,,,,6783.66,
25-January-2010,,,,6695.32,
27-January-2010,,,,6429.16,
28-January-2010,,,,6444.51,
29-January-2010,,,,6509.80,
1-February-2010,,,,6627.32,
2-February-2010,,,,6548.42,
3-February-2010,,,,6646.59,
4-February-2010,,,,6517.14,
5-February-2010,,,,6347.37,
6-February-2010,,,,6435.93,
8-February-2010,,,,6430.36,
9-February-2010,,,,6458.91,
10-February-2010,,,,6459.41,
11-February-2010,,,,6509.74,
15-February-2010,,,,6473.07,
16-February-2010,,,,6513.83,
17-February-2010,,,,6565.17,
18-February-2010,,,,6524.22,
19-February-2010,,,,6432.36,
22-February-2010,,,,6394.33,
23-February-2010,,,,6356.53,
24-February-2010,,,,6330.23,
25-February-2010,,,,6305.06,
26-February-2010,,,,6397.82,
2-March-2010,,,,6538.66,
3-March-2010,,,,6641.93,
4-March-2010,,,,6693.93,
5-March-2010,,,,6735.49,
8-March-2010,,,,6783.37,
9-March-2010,,,,6734.65,
10-March-2010,,,,6725.94,
11-March-2010,,,,6716.10,
12-March-2010,,,,6700.85,
15-March-2010,,,,6651.26,
16-March-2010,,,,6722.89,
17-March-2010,,,,6734.36,
18-March-2010,,,,6759.35,
19-March-2010,,,,6764.07,
22-March-2010,,,,6693.32,
23-March-2010,,,,6707.07,
25-March-2010,,,,6714.85,
26-March-2010,,,,6762.41,
29-March-2010,,,,6779.29,
