Historical Mutual Fund NAV of SBI-ETF Gold,
scheme:- SBI-ETF Gold,
Start Date:- 28-04-2009,
End Date:- 24-11-2020,
NAV Date,NAV (Rs)
21-02-2019,3050.2798
20-02-2019,3073.2956
19-02-2019,3051.3577
18-02-2019,3039.8726
15-02-2019,3019.4594
14-02-2019,2982.3215
13-02-2019,2978.9931
12-02-2019,2994.4945
11-02-2019,2993.2377
08-02-2019,3007.5102
07-02-2019,3002.7556
06-02-2019,3020.7774
05-02-2019,3028.807
04-02-2019,3019.3195
01-02-2019,3018.782
31-01-2019,3019.5166
30-01-2019,3003.9878
29-01-2019,2988.8894
28-01-2019,2975.3581
25-01-2019,2937.3787
24-01-2019,2937.4581
23-01-2019,2945.2539
22-01-2019,2951.4621
21-01-2019,2939.1244
18-01-2019,2943.6738
17-01-2019,2966.4233
16-01-2019,2953.3848
15-01-2019,2945.2929
14-01-2019,2943.9434
11-01-2019,2929.1689
10-01-2019,2929.934
09-01-2019,2904.6763
08-01-2019,2894.3932
07-01-2019,2889.5826
04-01-2019,2901.9325
03-01-2019,2916.5638
02-01-2019,2886.8935
01-01-2019,2879.6694
31-12-2018,2882.7074
28-12-2018,2872.9851
27-12-2018,2873.484
26-12-2018,2841.1433
24-12-2018,2848.1042
21-12-2018,2835.846
20-12-2018,2840.782
19-12-2018,2821.5016
18-12-2018,2861.4109
17-12-2018,2858.7544
14-12-2018,2861.3791
13-12-2018,2861.9234
12-12-2018,2880.8954
11-12-2018,2884.1732
10-12-2018,2859.3831
07-12-2018,2820.5946
06-12-2018,2832.338
05-12-2018,2813.0788
04-12-2018,2813.3076
03-12-2018,2785.2717
30-11-2018,2745.3553
29-11-2018,2766.7949
28-11-2018,2767.2965
27-11-2018,2799.479
26-11-2018,2795.9934
22-11-2018,2816.2456
21-11-2018,2812.8683
20-11-2018,2811.0947
19-11-2018,2832.546
16-11-2018,2813.1572
15-11-2018,2826.2445
14-11-2018,2805.2096
13-11-2018,2813.9411
12-11-2018,2845.3876
09-11-2018,2864.8986
06-11-2018,2908.4219
05-11-2018,2903.9353
02-11-2018,2905.4887
01-11-2018,2912.0592
31-10-2018,2905.3868
30-10-2018,2895.3826
29-10-2018,2912.9534
26-10-2018,2922.939
25-10-2018,2911.1516
24-10-2018,2909.817
23-10-2018,2936.9505
22-10-2018,2892.7422
19-10-2018,2909.1786
17-10-2018,2909.0351
16-10-2018,2928.6468
15-10-2018,2940.0515
12-10-2018,2895.1577
11-10-2018,2878.1204
10-10-2018,2837.5909
09-10-2018,2838.7058
08-10-2018,2848.6168
05-10-2018,2850.4243
04-10-2018,2849.5557
03-10-2018,2833.0026
01-10-2018,2786.7299
28-09-2018,2779.8614
27-09-2018,2809.9129
26-09-2018,2818.2894
25-09-2018,2823.0914
24-09-2018,2817.4786
21-09-2018,2806.7082
19-09-2018,2822.4102
18-09-2018,2804.4417
17-09-2018,2805.0362
14-09-2018,2796.4454
12-09-2018,2812.0463
11-09-2018,2789.0259
10-09-2018,2801.6998
07-09-2018,2788.7995
06-09-2018,2791.809
05-09-2018,2765.9538
04-09-2018,2748.4103
03-09-2018,2746.2101
31-08-2018,2763.2515
30-08-2018,2747.294
29-08-2018,2743.3642
28-08-2018,2748.8851
27-08-2018,2697.8313
24-08-2018,2701.6162
23-08-2018,2693.7947
21-08-2018,2693.9198
20-08-2018,2686.4593
17-08-2018,2678.3253
16-08-2018,2677.7525
14-08-2018,2699.0689
13-08-2018,2707.0365
10-08-2018,2703.7341
09-08-2018,2699.8312
08-08-2018,2694.4076
07-08-2018,2706.0242
06-08-2018,2695.1879
03-08-2018,2690.7484
02-08-2018,2696.4021
01-08-2018,2715.625
31-07-2018,2708.6683
30-07-2018,2724.229
27-07-2018,2716.9485
26-07-2018,2735.3544
25-07-2018,2743.4843
24-07-2018,2740.0117
23-07-2018,2737.9102
20-07-2018,2734.0587
19-07-2018,2719.1357
18-07-2018,2721.7676
17-07-2018,2752.4686
16-07-2018,2765.6014
13-07-2018,2750.6143
12-07-2018,2768.761
11-07-2018,2786.2545
10-07-2018,2792.4638
09-07-2018,2805.2852
06-07-2018,2796.8065
05-07-2018,2786.8433
04-07-2018,2787.5312
03-07-2018,2771.5781
02-07-2018,2775.36
29-06-2018,2776.9821
28-06-2018,2799.2041
27-06-2018,2796.7304
26-06-2018,2784.4687
25-06-2018,2808.7458
22-06-2018,2794.8998
21-06-2018,2793.9916
20-06-2018,2808.8267
19-06-2018,2822.7597
18-06-2018,2822.5854
15-06-2018,2858.1026
14-06-2018,2858.8265
13-06-2018,2835.174
12-06-2018,2836.5627
11-06-2018,2827.6558
08-06-2018,2841.1768
07-06-2018,2823.5574
06-06-2018,2818.535
05-06-2018,2818.0502
04-06-2018,2818.1011
01-06-2018,2832.0349
31-05-2018,2854.6473
30-05-2018,2851.8157
29-05-2018,2865.9334
28-05-2018,2855.4404
25-05-2018,2886.7559
24-05-2018,2876.6007
23-05-2018,2865.4954
22-05-2018,2858.0302
21-05-2018,2844.8383
18-05-2018,2842.8829
17-05-2018,2832.568
16-05-2018,2842.5779
15-05-2018,2867.2989
14-05-2018,2880.0544
11-05-2018,2884.6802
10-05-2018,2871.323
09-05-2018,2855.9722
08-05-2018,2850.8443
07-05-2018,2850.531
04-05-2018,2837.9043
03-05-2018,2836.3948
02-05-2018,2833.6277
30-04-2018,2848.9391
27-04-2018,2852.0303
26-04-2018,2866.5622
25-04-2018,2868.9456
24-04-2018,2859.2172
23-04-2018,2854.9626
20-04-2018,2870.7736
19-04-2018,2873.3413
18-04-2018,2866.8308
17-04-2018,2857.3418
16-04-2018,2853.7325
13-04-2018,2838.2517
12-04-2018,2853.1075
11-04-2018,2843.1268
10-04-2018,2818.2433
09-04-2018,2803.9345
06-04-2018,2801.0397
05-04-2018,2806.2519
04-04-2018,2835.3985
03-04-2018,2823.1186
02-04-2018,2799.9356
28-03-2018,2832.8954
27-03-2018,2837.727
26-03-2018,2837.8395
23-03-2018,2835.6208
22-03-2018,2807.3246
21-03-2018,2789.6443
20-03-2018,2782.2409
19-03-2018,2774.1233
16-03-2018,2783.9016
15-03-2018,2793.873
14-03-2018,2799.5903
13-03-2018,2786.6442
12-03-2018,2786.4261
09-03-2018,2792.9444
08-03-2018,2798.4199
07-03-2018,2813.5797
06-03-2018,2800.5795
05-03-2018,2805.5201
01-03-2018,2778.9529
28-02-2018,2793.3409
27-02-2018,2807.2585
26-02-2018,2811.9191
23-02-2018,2799.2267
22-02-2018,2797.7551
21-02-2018,2798.5885
20-02-2018,2803.9404
19-02-2018,2798.5549
16-02-2018,2819.7476
15-02-2018,2811.596
14-02-2018,2776.7812
12-02-2018,2766.1322
09-02-2018,2759.0702
08-02-2018,2741.7941
07-02-2018,2773.6801
06-02-2018,2809.3683
05-02-2018,2785.7278
02-02-2018,2802.7327
01-02-2018,2778.3482
31-01-2018,2785.6507
30-01-2018,2789.055
29-01-2018,2786.0092
25-01-2018,2806.4881
24-01-2018,2794.2331
23-01-2018,2774.3947
22-01-2018,2773.5801
19-01-2018,2770.2253
18-01-2018,2762.6961
17-01-2018,2782.3832
16-01-2018,2769.3558
15-01-2018,2763.45
12-01-2018,2749.4235
11-01-2018,2733.3761
10-01-2018,2740.3353
09-01-2018,2714.0543
08-01-2018,2716.6228
05-01-2018,2716.555
04-01-2018,2710.7593
03-01-2018,2716.0849
02-01-2018,2720.1538
01-01-2018,2689.6794
29-12-2017,2699.7967
28-12-2017,2692.6359
27-12-2017,2680.5258
26-12-2017,2644.0677
22-12-2017,2643.95
21-12-2017,2643.5789
20-12-2017,2642.7162
19-12-2017,2639.786
18-12-2017,2630.9802
15-12-2017,2634.3965
14-12-2017,2638.1907
13-12-2017,2618.1775
12-12-2017,2622.8039
11-12-2017,2633.5439
08-12-2017,2627.1127
07-12-2017,2653.7895
06-12-2017,2672.7
05-12-2017,2684.0532
04-12-2017,2690.3238
01-12-2017,2689.1019
30-11-2017,2698.4626
29-11-2017,2719.6613
28-11-2017,2718.5195
27-11-2017,2730.5931
24-11-2017,2721.7638
23-11-2017,2726.1196
22-11-2017,2712.53
21-11-2017,2716.1837
20-11-2017,2740.5597
17-11-2017,2716.6186
16-11-2017,2718.8793
15-11-2017,2737.0547
14-11-2017,2719.0454
13-11-2017,2724.7961
10-11-2017,2721.0708
09-11-2017,2715.8307
08-11-2017,2718.7364
07-11-2017,2698.0094
06-11-2017,2686.0527
03-11-2017,2687.7102
02-11-2017,2692.2598
01-11-2017,2695.2216
31-10-2017,2699.222
30-10-2017,2702.1593
27-10-2017,2698.9391
26-10-2017,2707.0797
25-10-2017,2710.7973
24-10-2017,2713.0033
23-10-2017,2710.9701
18-10-2017,2723.7097
17-10-2017,2735.7135
16-10-2017,2759.078
13-10-2017,2743.1477
12-10-2017,2750.8048
11-10-2017,2749.189
10-10-2017,2747.9793
09-10-2017,2735.3519
06-10-2017,2705.8015
05-10-2017,2721.373
04-10-2017,2720.2973
03-10-2017,2720.9453
29-09-2017,2756.329
28-09-2017,2766.7114
27-09-2017,2777.8567
26-09-2017,2794.3189
25-09-2017,2753.2578
22-09-2017,2761.1588
21-09-2017,2743.2172
20-09-2017,2770.3866
19-09-2017,2751.0133
18-09-2017,2756.9239
15-09-2017,2775.0971
14-09-2017,2771.0925
13-09-2017,2785.2119
12-09-2017,2772.6375
11-09-2017,2793.8633
08-09-2017,2816.2576
07-09-2017,2804.0766
06-09-2017,2811.0259
05-09-2017,2790.2061
04-09-2017,2794.0752
01-09-2017,2761.1634
31-08-2017,2738.8303
30-08-2017,2740.8512
29-08-2017,2768.0105
28-08-2017,2693.817
24-08-2017,2699.5444
23-08-2017,2702.9488
22-08-2017,2699.8273
21-08-2017,2701.5441
18-08-2017,2719.2084
17-08-2017,2704.4856
16-08-2017,2674.7121
14-08-2017,2683.1071
11-08-2017,2702.49
10-08-2017,2676.2244
09-08-2017,2648.3325
08-08-2017,2635.7831
07-08-2017,2628.5083
04-08-2017,2649.8223
03-08-2017,2635.4347
02-08-2017,2661.0767
01-08-2017,2661.8981
31-07-2017,2661.0025
28-07-2017,2641.8156
27-07-2017,2645.536
26-07-2017,2625.1329
25-07-2017,2635.4362
24-07-2017,2646.2369
21-07-2017,2625.2552
20-07-2017,2610.6897
19-07-2017,2613.1409
18-07-2017,2608.323
17-07-2017,2595.9539
14-07-2017,2578.6123
13-07-2017,2587.7877
12-07-2017,2586.1729
11-07-2017,2572.1598
10-07-2017,2565.3077
07-07-2017,2597.0506
06-07-2017,2604.251
05-07-2017,2597.6665
04-07-2017,2605.7218
03-07-2017,2624.4151
30-06-2017,2673.8499
29-06-2017,2677.3441
28-06-2017,2689.2275
27-06-2017,2684.296
23-06-2017,2698.9872
22-06-2017,2688.0374
21-06-2017,2683.7474
20-06-2017,2677.692
19-06-2017,2683.3234
16-06-2017,2702.0749
15-06-2017,2698.335
14-06-2017,2711.9563
13-06-2017,2703.6274
12-06-2017,2715.0554
09-06-2017,2721.7744
08-06-2017,2745.9022
07-06-2017,2765.0327
06-06-2017,2751.7939
05-06-2017,2737.9746
02-06-2017,2702.8916
01-06-2017,2714.6952
31-05-2017,2713.1063
30-05-2017,2708.2853
29-05-2017,2709.6912
26-05-2017,2711.3767
25-05-2017,2692.919
24-05-2017,2695.0551
23-05-2017,2708.5897
22-05-2017,2691.6342
19-05-2017,2701.3964
18-05-2017,2694.6641
17-05-2017,2650.338
16-05-2017,2632.1867
15-05-2017,2628.9594
12-05-2017,2635.4121
11-05-2017,2627.1019
10-05-2017,2633.4684
09-05-2017,2637.8001
08-05-2017,2635.8987
05-05-2017,2658.2578
04-05-2017,2649.6854
03-05-2017,2682.0559
02-05-2017,2688.0852
28-04-2017,2707.5456
27-04-2017,2703.8315
26-04-2017,2700.8639
25-04-2017,2722.1628
24-04-2017,2732.334
21-04-2017,2754.9763
20-04-2017,2755.9137
19-04-2017,2756.6066
18-04-2017,2763.2276
17-04-2017,2759.2251
13-04-2017,2756.1074
12-04-2017,2738.8581
11-04-2017,2701.1102
10-04-2017,2693.2697
07-04-2017,2712.3301
06-04-2017,2715.3504
05-04-2017,2715.4344
03-04-2017,2698.3792
31-03-2017,2687.0684
30-03-2017,2699.6305
29-03-2017,2704.4611
28-03-2017,2711.0627
27-03-2017,2717.4884
24-03-2017,2706.3446
23-03-2017,2712.7264
22-03-2017,2711.7502
21-03-2017,2677.6451
20-03-2017,2682.2241
17-03-2017,2679.9747
16-03-2017,2673.5241
15-03-2017,2632.4949
14-03-2017,2670.4015
10-03-2017,2675.1138
09-03-2017,2694.3162
08-03-2017,2706.9147
07-03-2017,2727.749
06-03-2017,2747.237
03-03-2017,2745.5947
02-03-2017,2772.2223
01-03-2017,2781.7555
28-02-2017,2789.395
27-02-2017,2791.8065
23-02-2017,2758.3429
22-02-2017,2763.5445
21-02-2017,2746.3897
20-02-2017,2759.8422
17-02-2017,2774.8462
16-02-2017,2763.9586
15-02-2017,2739.69
14-02-2017,2741.7848
13-02-2017,2742.1876
10-02-2017,2733.9736
09-02-2017,2769.0558
08-02-2017,2767.6911
07-02-2017,2760.8196
06-02-2017,2735.9819
03-02-2017,2725.2735
02-02-2017,2752.6639
01-02-2017,2731.489
31-01-2017,2714.8283
30-01-2017,2707.6021
27-01-2017,2702.0497
25-01-2017,2739.9897
24-01-2017,2760.1897
23-01-2017,2758.5233
20-01-2017,2728.9131
19-01-2017,2739.7551
18-01-2017,2749.7882
17-01-2017,2764.2813
16-01-2017,2738.0015
13-01-2017,2727.8494
12-01-2017,2730.4484
11-01-2017,2696.5239
10-01-2017,2681.8417
09-01-2017,2671.7341
06-01-2017,2667.5395
05-01-2017,2651.1653
04-01-2017,2650.4287
03-01-2017,2611.9381
02-01-2017,2631.1675
30-12-2016,2629.028
29-12-2016,2613.8332
28-12-2016,2602.9459
27-12-2016,2577.2793
26-12-2016,2571.7675
23-12-2016,2574.6816
22-12-2016,2573.9045
21-12-2016,2580.4292
20-12-2016,2577.9258
19-12-2016,2582.0926
16-12-2016,2578.5013
15-12-2016,2577.1783
14-12-2016,2632.3454
13-12-2016,2622.54
12-12-2016,2620.0292
09-12-2016,2649.7408
08-12-2016,2656.3364
07-12-2016,2664.8239
06-12-2016,2670.4158
05-12-2016,2662.5736
02-12-2016,2683.6882
01-12-2016,2675.7271
30-11-2016,2719.6237
29-11-2016,2729.4028
28-11-2016,2735.7179
25-11-2016,2723.31
24-11-2016,2729.8164
23-11-2016,2777.0312
22-11-2016,2776.9455
21-11-2016,2772.6437
18-11-2016,2748.7635
17-11-2016,2790.507
16-11-2016,2772.8528
15-11-2016,2777.1673
11-11-2016,2818.9968
10-11-2016,2846.7087
09-11-2016,2908.6136
08-11-2016,2863.9377
07-11-2016,2870.5306
04-11-2016,2900.3858
03-11-2016,2881.7265
02-11-2016,2892.8265
01-11-2016,2865.4119
28-10-2016,2831.4552
27-10-2016,2839.4871
26-10-2016,2844.0873
25-10-2016,2839.3648
24-10-2016,2834.2391
21-10-2016,2829.5739
20-10-2016,2834.1562
19-10-2016,2834.3266
18-10-2016,2818.6139
17-10-2016,2802.6563
14-10-2016,2812.5136
13-10-2016,2828.0679
10-10-2016,2826.5759
07-10-2016,2820.2449
06-10-2016,2836.5325
05-10-2016,2851.2645
04-10-2016,2921.2341
03-10-2016,2939.4392
30-09-2016,2963.3042
29-09-2016,2946.2586
28-09-2016,2950.0978
27-09-2016,2972.8804
26-09-2016,2983.84
23-09-2016,2980.9648
22-09-2016,2981.9083
21-09-2016,2964.8186
20-09-2016,2954.7028
19-09-2016,2948.2611
16-09-2016,2947.1682
15-09-2016,2965.4324
14-09-2016,2968.0325
12-09-2016,2974.3656
09-09-2016,2976.6816
08-09-2016,2997.5416
07-09-2016,2995.5974
06-09-2016,2965.7241
02-09-2016,2940.4948
01-09-2016,2932.7489
31-08-2016,2951.5835
30-08-2016,2972.7003
29-08-2016,2988.7547
26-08-2016,2982.9457
25-08-2016,2984.5344
24-08-2016,3012.3114
23-08-2016,3013.0625
22-08-2016,3008.9098
19-08-2016,3023.8146
18-08-2016,3018.868
17-08-2016,3014.4322
16-08-2016,3027.3305
12-08-2016,2999.6794
11-08-2016,3014.2549
10-08-2016,3024.4405
09-08-2016,2995.2106
08-08-2016,2980.4663
05-08-2016,3049.3982
04-08-2016,3033.4377
03-08-2016,3059.9608
02-08-2016,3040.1975
01-08-2016,3020.7257
29-07-2016,2999.8626
28-07-2016,3014.6315
27-07-2016,2980.4717
26-07-2016,2986.7458
25-07-2016,2969.1345
22-07-2016,2981.7189
21-07-2016,2982.3041
20-07-2016,2988.4303
19-07-2016,3000.8641
18-07-2016,2986.8823
15-07-2016,2994.5035
14-07-2016,2978.7584
13-07-2016,3020.1019
12-07-2016,3043.4205
11-07-2016,3054.2811
08-07-2016,3063.175
07-07-2016,3087.2987
05-07-2016,3037.3893
04-07-2016,3036.7038
01-07-2016,3012.7876
30-06-2016,2989.8173
29-06-2016,2988.5948
28-06-2016,2982.5722
27-06-2016,3009.0665
24-06-2016,2991.81
23-06-2016,2868.1627
22-06-2016,2873.8953
21-06-2016,2903.1468
20-06-2016,2905.5815
17-06-2016,2898.9968
16-06-2016,2947.3642
15-06-2016,2894.7657
14-06-2016,2887.9386
13-06-2016,2880.5427
10-06-2016,2834.5297
09-06-2016,2811.4401
08-06-2016,2803.7864
07-06-2016,2784.5703
06-06-2016,2788.4737
03-06-2016,2739.1322
02-06-2016,2747.8424
01-06-2016,2753.1195
31-05-2016,2735.9716
30-05-2016,2776.9231
27-05-2016,2766.8226
26-05-2016,2786.2236
25-05-2016,2780.2687
24-05-2016,2834.858
23-05-2016,2837.2615
20-05-2016,2852.1749
19-05-2016,2836.2511
18-05-2016,2858.97
17-05-2016,2850.1022
16-05-2016,2876.0347
13-05-2016,2862.0895
12-05-2016,2836.7898
11-05-2016,2847.7247
10-05-2016,2834.7907
09-05-2016,2849.8868
06-05-2016,2860.8155
05-05-2016,2848.0123
04-05-2016,2858.3643
03-05-2016,2880.4955
02-05-2016,2839.259
29-04-2016,2846.2563
28-04-2016,2805.9278
27-04-2016,2787.5205
26-04-2016,2773.9541
25-04-2016,2764.8117
22-04-2016,2787.2054
21-04-2016,2806.7278
20-04-2016,2784.9221
18-04-2016,2780.9444
13-04-2016,2788.6356
12-04-2016,2814.3733
11-04-2016,2786.47
08-04-2016,2764.9601
07-04-2016,2769.8825
06-04-2016,2750.4207
05-04-2016,2752.514
04-04-2016,2716.3725
01-04-2016,2754.3503
31-03-2016,2757.4501
30-03-2016,2771.0254
29-03-2016,2732.7996
28-03-2016,2736.9513
23-03-2016,2776.5231
22-03-2016,2804.0177
21-03-2016,2787.4696
18-03-2016,2812.3742
17-03-2016,2855.6091
16-03-2016,2800.0005
15-03-2016,2792.565
14-03-2016,2831.5354
11-03-2016,2845.813
10-03-2016,2814.0299
09-03-2016,2852.2636
08-03-2016,2879.9124
04-03-2016,2872.3531
03-03-2016,2819.9097
02-03-2016,2806.3596
01-03-2016,2845.5251
29-02-2016,2850.7309
26-02-2016,2853.1534
25-02-2016,2855.6919
24-02-2016,2847.936
23-02-2016,2822.7417
22-02-2016,2788.0973
19-02-2016,2823.3121
18-02-2016,2785.8718
17-02-2016,2785.3808
16-02-2016,2795.9848
15-02-2016,2781.2833
12-02-2016,2847.0969
11-02-2016,2797.7132
10-02-2016,2710.5425
09-02-2016,2732.253
08-02-2016,2670.5637
05-02-2016,2633.6445
04-02-2016,2614.4195
03-02-2016,2593.8927
02-02-2016,2568.7614
01-02-2016,2560.0147
29-01-2016,2548.4259
28-01-2016,2562.873
27-01-2016,2554.1765
25-01-2016,2516.51
22-01-2016,2507.8037
21-01-2016,2513.2775
20-01-2016,2503.1442
19-01-2016,2476.6538
18-01-2016,2484.6344
15-01-2016,2460.4972
14-01-2016,2463.1576
13-01-2016,2436.5242
12-01-2016,2464.7963
11-01-2016,2481.4353
08-01-2016,2462.8843
07-01-2016,2467.2742
06-01-2016,2436.1666
05-01-2016,2418.6073
04-01-2016,2405.3383
01-01-2016,2375.1668
31-12-2015,2380.0234
30-12-2015,2395.79
29-12-2015,2392.9639
28-12-2015,2394.8038
24-12-2015,2397.119
23-12-2015,2396.3689
22-12-2015,2410.6692
21-12-2015,2399.7688
18-12-2015,2371.0835
17-12-2015,2400.0574
16-12-2015,2406.3597
15-12-2015,2419.7619
14-12-2015,2413.8793
11-12-2015,2405.6299
10-12-2015,2415.5883
09-12-2015,2427.3164
08-12-2015,2415.4386
07-12-2015,2432.0728
04-12-2015,2399.1077
03-12-2015,2369.1245
02-12-2015,2398.0981
01-12-2015,2399.722
30-11-2015,2381.8152
27-11-2015,2404.7413
26-11-2015,2410.1518
24-11-2015,2409.8581
23-11-2015,2399.3678
20-11-2015,2425.0214
19-11-2015,2399.6245
18-11-2015,2394.5534
17-11-2015,2410.9423
16-11-2015,2444.8481
13-11-2015,2422.3607
10-11-2015,2447.2012
09-11-2015,2453.1323
06-11-2015,2471.5581
05-11-2015,2463.7907
04-11-2015,2481.5788
03-11-2015,2503.3557
02-11-2015,2514.1693
30-10-2015,2529.1887
29-10-2015,2554.8336
28-10-2015,2575.7375
27-10-2015,2561.3535
26-10-2015,2567.0359
23-10-2015,2570.4309
21-10-2015,2585.8857
20-10-2015,2575.1999
19-10-2015,2568.59
16-10-2015,2583.5809
15-10-2015,2586.153
14-10-2015,2577.5207
13-10-2015,2536.0687
12-10-2015,2545.0385
09-10-2015,2522.2701
08-10-2015,2519.1815
07-10-2015,2531.9184
06-10-2015,2514.7583
05-10-2015,2506.2617
01-10-2015,2478.6811
30-09-2015,2496.9135
29-09-2015,2510.496
28-09-2015,2532.955
24-09-2015,2527.7732
23-09-2015,2503.5614
22-09-2015,2501.1726
21-09-2015,2520.793
18-09-2015,2525.3192
16-09-2015,2491.5804
15-09-2015,2480.9651
14-09-2015,2490.367
11-09-2015,2487.8001
10-09-2015,2497.3988
09-09-2015,2517.0388
08-09-2015,2524.8722
07-09-2015,2530.0055
04-09-2015,2526.5251
03-09-2015,2526.8784
