Historical Mutual Fund NAV of SBI-ETF Gold,
scheme:- SBI-ETF Gold,
Start Date:- 28-04-2009,
End Date:- 24-11-2020,
NAV Date,NAV (Rs)
02-09-2015,2544.7872
01-09-2015,2552.0665
31-08-2015,2516.7638
28-08-2015,2509.2363
27-08-2015,2514.6512
26-08-2015,2530.0892
25-08-2015,2589.5214
24-08-2015,2581.0297
21-08-2015,2548.9645
20-08-2015,2500.6104
19-08-2015,2471.8589
18-08-2015,2462.773
17-08-2015,2459.1745
14-08-2015,2454.979
13-08-2015,2443.6699
12-08-2015,2439.4344
11-08-2015,2410.1935
10-08-2015,2360.2698
07-08-2015,2355.3582
06-08-2015,2340.6846
05-08-2015,2345.5252
04-08-2015,2361.3389
03-08-2015,2363.2239
31-07-2015,2339.612
30-07-2015,2350.6379
29-07-2015,2368.6178
28-07-2015,2370.9054
27-07-2015,2376.0216
24-07-2015,2343.57
23-07-2015,2372.5122
22-07-2015,2370.7753
21-07-2015,2396.693
20-07-2015,2406.9496
17-07-2015,2459.3911
16-07-2015,2464.1816
15-07-2015,2479.0216
14-07-2015,2483.8834
13-07-2015,2486.2067
10-07-2015,2497.7881
09-07-2015,2501.8138
08-07-2015,2488.902
07-07-2015,2505.304
06-07-2015,2508.7779
03-07-2015,2510.2486
02-07-2015,2510.0286
01-07-2015,2526.312
30-06-2015,2539.468
29-06-2015,2548.3055
26-06-2015,2533.1972
25-06-2015,2533.9493
24-06-2015,2537.9877
23-06-2015,2552.1283
22-06-2015,2567.5248
19-06-2015,2587.768
18-06-2015,2589.4153
17-06-2015,2561.0343
16-06-2015,2569.5002
15-06-2015,2559.741
12-06-2015,2559.8884
11-06-2015,2557.3773
10-06-2015,2567.9624
09-06-2015,2560.1425
08-06-2015,2551.6501
05-06-2015,2549.0486
04-06-2015,2570.4282
03-06-2015,2566.7779
02-06-2015,2570.3751
01-06-2015,2559.4477
29-05-2015,2571.3008
28-05-2015,2582.8366
27-05-2015,2581.4887
26-05-2015,2589.8212
25-05-2015,2614.7899
22-05-2015,2613.1649
21-05-2015,2615.4391
20-05-2015,2616.0978
19-05-2015,2634.6521
18-05-2015,2646.272
15-05-2015,2624.4165
14-05-2015,2627.9789
13-05-2015,2598.5089
12-05-2015,2582.2749
11-05-2015,2570.125
08-05-2015,2578.5952
07-05-2015,2562.7109
06-05-2015,2570.2056
05-05-2015,2558.3104
04-05-2015,2544.207
30-04-2015,2593.6512
29-04-2015,2577.7148
28-04-2015,2575.9442
27-04-2015,2550.1296
24-04-2015,2560.9114
23-04-2015,2544.6018
22-04-2015,2559.4316
21-04-2015,2554.2226
20-04-2015,2551.796
17-04-2015,2546.4726
16-04-2015,2548.4298
15-04-2015,2519.7672
13-04-2015,2534.657
10-04-2015,2541.7793
09-04-2015,2526.5602
08-04-2015,2558.1191
07-04-2015,2553.3351
06-04-2015,2533.6411
01-04-2015,2510.4642
31-03-2015,2506.7099
30-03-2015,2517.6248
27-03-2015,2537.2697
26-03-2015,2561.6173
25-03-2015,2517.2647
24-03-2015,2513.4309
23-03-2015,2494.1981
20-03-2015,2483.4001
19-03-2015,2465.3666
18-03-2015,2445.6722
17-03-2015,2457.4787
16-03-2015,2466.459
13-03-2015,2471.5516
12-03-2015,2476.909
11-03-2015,2478.5424
10-03-2015,2481.2572
09-03-2015,2502.8029
05-03-2015,2537.5918
