Historical Mutual Fund NAV of KOTAK GOLD ETF,
scheme:- KOTAK GOLD ETF,
Start Date:- 27-07-2007,
End Date:- 24-11-2020,
NAV Date,NAV (Rs)
01-10-2014,247.9837
30-09-2014,247.7682
29-09-2014,248.7664
26-09-2014,250.1503
25-09-2014,245.99
24-09-2014,248.4903
23-09-2014,248.0965
22-09-2014,245.7872
19-09-2014,247.4278
18-09-2014,248.1575
17-09-2014,250.263
16-09-2014,251.2325
15-09-2014,251.2884
12-09-2014,251.1939
11-09-2014,253.2672
10-09-2014,254.2626
09-09-2014,253.0862
08-09-2014,254.5078
05-09-2014,254.6104
04-09-2014,256.0505
03-09-2014,255.9494
02-09-2014,257.8922
01-09-2014,259.1017
28-08-2014,259.6286
27-08-2014,259.065
26-08-2014,259.4547
25-08-2014,258.1958
22-08-2014,258.2537
21-08-2014,259.6942
20-08-2014,261.8781
19-08-2014,263.1582
14-08-2014,266.9077
13-08-2014,266.5987
12-08-2014,266.6875
11-08-2014,265.9209
08-08-2014,269.3927
07-08-2014,265.4945
06-08-2014,262.7137
05-08-2014,261.6887
04-08-2014,262.416
01-08-2014,260.1404
31-07-2014,259.7104
30-07-2014,260.0249
28-07-2014,261.2105
25-07-2014,259.1441
24-07-2014,259.9488
23-07-2014,262.0214
22-07-2014,262.1471
21-07-2014,262.9956
18-07-2014,263.137
17-07-2014,260.7922
16-07-2014,260.0464
15-07-2014,262.9691
14-07-2014,263.7986
11-07-2014,267.3019
10-07-2014,267.2755
09-07-2014,262.9511
08-07-2014,262.4761
07-07-2014,262.1724
04-07-2014,263.0802
03-07-2014,263.1284
02-07-2014,264.908
30-06-2014,261.914
27-06-2014,262.3539
26-06-2014,261.9439
25-06-2014,262.5047
24-06-2014,263.8162
23-06-2014,262.4523
20-06-2014,262.18
19-06-2014,255.8021
18-06-2014,253.9233
17-06-2014,254.0464
16-06-2014,255.7904
13-06-2014,252.0309
12-06-2014,249.4511
11-06-2014,249.5799
10-06-2014,247.7551
09-06-2014,247.2577
06-06-2014,247.598
05-06-2014,246.4605
04-06-2014,246.8354
03-06-2014,246.0673
02-06-2014,245.8896
30-05-2014,248.0954
29-05-2014,247.3723
28-05-2014,250.2747
27-05-2014,253.3725
26-05-2014,253.1519
23-05-2014,252.7676
22-05-2014,253.571
21-05-2014,253.9111
20-05-2014,253.7254
19-05-2014,254.1611
16-05-2014,254.6074
15-05-2014,258.9962
