Historical Mutual Fund NAV of KOTAK GOLD ETF,
scheme:- KOTAK GOLD ETF,
Start Date:- 27-07-2007,
End Date:- 24-11-2020,
NAV Date,NAV (Rs)
09-07-2019,305.7829
08-07-2019,308.9538
05-07-2019,303.8723
04-07-2019,304.7255
03-07-2019,306.7339
02-07-2019,300.9722
01-07-2019,300.2804
28-06-2019,304.6006
27-06-2019,303.7418
26-06-2019,305.0116
25-06-2019,308.1492
24-06-2019,303.991
21-06-2019,301.2596
20-06-2019,299.6356
19-06-2019,292.328
18-06-2019,293.2602
17-06-2019,291.1612
14-06-2019,292.7767
13-06-2019,288.7328
12-06-2019,289.0795
11-06-2019,286.4068
10-06-2019,287.7164
07-06-2019,288.2481
06-06-2019,289.0991
04-06-2019,286.4465
03-06-2019,285.0905
31-05-2019,283.3341
30-05-2019,279.4144
29-05-2019,281.1511
28-05-2019,280.2667
27-05-2019,279.1409
24-05-2019,279.7913
23-05-2019,278.9333
22-05-2019,278.8854
21-05-2019,279.1512
20-05-2019,278.349
17-05-2019,282.683
16-05-2019,284.6455
15-05-2019,284.7887
14-05-2019,285.3123
13-05-2019,281.8116
10-05-2019,281.0849
09-05-2019,280.6403
08-05-2019,280.3893
07-05-2019,278.0699
06-05-2019,276.0392
03-05-2019,275.7333
02-05-2019,276.9757
30-04-2019,281.0608
26-04-2019,281.4686
25-04-2019,280.0175
24-04-2019,279.0873
23-04-2019,278.4563
22-04-2019,279.0413
18-04-2019,277.5286
16-04-2019,279.5285
15-04-2019,278.8562
12-04-2019,281.0498
11-04-2019,281.4263
10-04-2019,282.1006
09-04-2019,282.9685
08-04-2019,281.9459
05-04-2019,279.1891
04-04-2019,278.6434
03-04-2019,277.3989
02-04-2019,278.796
29-03-2019,279.7792
28-03-2019,282.2433
27-03-2019,284.0883
26-03-2019,283.3031
25-03-2019,284.644
22-03-2019,281.8358
20-03-2019,281.3954
19-03-2019,281.4234
18-03-2019,280.9387
15-03-2019,283.2475
14-03-2019,284.2443
13-03-2019,285.9035
12-03-2019,283.5576
11-03-2019,284.6792
08-03-2019,284.8802
07-03-2019,283.4805
06-03-2019,285.333
05-03-2019,285.8872
01-03-2019,291.6896
28-02-2019,295.6562
27-02-2019,295.4944
26-02-2019,295.4565
25-02-2019,295.5861
22-02-2019,294.8819
21-02-2019,297.4772
20-02-2019,299.7275
18-02-2019,296.4544
15-02-2019,294.4585
14-02-2019,290.8287
13-02-2019,290.5065
12-02-2019,292.0171
11-02-2019,291.8921
08-02-2019,293.2823
07-02-2019,292.8158
06-02-2019,294.5737
05-02-2019,295.3553
04-02-2019,294.4296
01-02-2019,294.3809
31-01-2019,294.4528
30-01-2019,292.9339
29-01-2019,291.4596
28-01-2019,290.1376
25-01-2019,286.4259
24-01-2019,286.4313
23-01-2019,287.1932
22-01-2019,287.7814
21-01-2019,286.5756
18-01-2019,287.0207
17-01-2019,289.2403
16-01-2019,287.9675
15-01-2019,286.9183
14-01-2019,287.0475
11-01-2019,285.6062
10-01-2019,285.6801
09-01-2019,283.2131
08-01-2019,282.2124
07-01-2019,281.7475
04-01-2019,282.948
03-01-2019,284.3719
02-01-2019,281.4803
01-01-2019,280.773
31-12-2018,281.0684
28-12-2018,280.1154
27-12-2018,280.1601
26-12-2018,277.0032
24-12-2018,277.6803
21-12-2018,276.4824
20-12-2018,276.9616
19-12-2018,275.0792
18-12-2018,278.9669
17-12-2018,278.7019
14-12-2018,278.6289
13-12-2018,279.0107
12-12-2018,280.8589
11-12-2018,281.1799
10-12-2018,278.7625
07-12-2018,274.9774
06-12-2018,276.1197
05-12-2018,274.2422
04-12-2018,274.2658
03-12-2018,271.5273
30-11-2018,267.6247
29-11-2018,269.7188
28-11-2018,269.7597
27-11-2018,272.9043
26-11-2018,272.564
22-11-2018,274.5356
20-11-2018,274.028
19-11-2018,276.1192
16-11-2018,274.2206
15-11-2018,275.4957
14-11-2018,273.4381
13-11-2018,274.286
12-11-2018,277.3591
09-11-2018,279.2665
06-11-2018,283.5192
05-11-2018,283.0783
02-11-2018,283.2284
01-11-2018,283.8599
31-10-2018,283.2051
30-10-2018,282.2306
29-10-2018,283.9476
26-10-2018,284.92
25-10-2018,283.7681
24-10-2018,283.6366
23-10-2018,286.281
22-10-2018,281.9644
19-10-2018,283.5643
17-10-2018,283.5465
16-10-2018,285.4569
15-10-2018,285.7509
12-10-2018,282.1802
11-10-2018,280.5084
10-10-2018,276.5505
09-10-2018,276.6581
08-10-2018,277.626
05-10-2018,277.801
04-10-2018,277.7129
03-10-2018,276.1016
01-10-2018,271.581
28-09-2018,270.9077
27-09-2018,273.8407
26-09-2018,274.6567
25-09-2018,275.1232
24-09-2018,274.5744
21-09-2018,273.5258
19-09-2018,275.0481
18-09-2018,273.2942
17-09-2018,273.3489
14-09-2018,272.5123
12-09-2018,274.0242
11-09-2018,271.7773
10-09-2018,273.0117
07-09-2018,271.753
06-09-2018,272.0453
05-09-2018,269.5189
04-09-2018,267.8088
03-09-2018,267.5964
31-08-2018,269.2551
30-08-2018,267.6953
29-08-2018,267.3122
28-08-2018,267.8519
27-08-2018,262.8749
24-08-2018,263.2384
23-08-2018,262.475
21-08-2018,262.488
20-08-2018,261.7583
16-08-2018,260.8987
14-08-2018,262.9783
13-08-2018,263.7565
10-08-2018,263.4352
09-08-2018,263.0566
08-08-2018,262.5277
07-08-2018,263.6598
06-08-2018,262.6007
03-08-2018,262.1614
02-08-2018,262.7165
01-08-2018,264.5897
31-07-2018,263.9089
30-07-2018,265.425
27-07-2018,264.7109
26-07-2018,266.5044
25-07-2018,267.2946
24-07-2018,266.9519
23-07-2018,266.7453
20-07-2018,266.3646
19-07-2018,264.9049
18-07-2018,265.1632
17-07-2018,268.1644
16-07-2018,269.4433
13-07-2018,268.1039
12-07-2018,269.7454
11-07-2018,271.4629
10-07-2018,272.0708
09-07-2018,273.3282
06-07-2018,272.4898
05-07-2018,271.5095
04-07-2018,271.5772
03-07-2018,270.0086
02-07-2018,270.3791
29-06-2018,270.5349
28-06-2018,272.711
27-06-2018,272.4709
26-06-2018,271.2693
25-06-2018,273.6515
22-06-2018,272.292
21-06-2018,272.1972
20-06-2018,273.6525
19-06-2018,274.9869
18-06-2018,274.9706
15-06-2018,278.4527
14-06-2018,278.526
13-06-2018,276.2047
12-06-2018,276.3421
11-06-2018,275.4685
08-06-2018,276.7918
07-06-2018,275.0668
06-06-2018,274.5731
05-06-2018,274.5235
04-06-2018,274.5292
01-06-2018,275.8935
31-05-2018,278.1095
30-05-2018,277.8292
29-05-2018,279.2121
28-05-2018,278.1855
25-05-2018,281.2484
24-05-2018,280.25
23-05-2018,279.1616
22-05-2018,278.4306
21-05-2018,277.1352
18-05-2018,276.9413
17-05-2018,275.9308
16-05-2018,276.9103
15-05-2018,279.3389
14-05-2018,280.5921
11-05-2018,281.0435
10-05-2018,279.7296
09-05-2018,278.2215
08-05-2018,277.7201
07-05-2018,277.688
04-05-2018,276.4488
03-05-2018,276.3012
02-05-2018,276.028
27-04-2018,277.8254
26-04-2018,279.2489
25-04-2018,279.4824
24-04-2018,278.5302
23-04-2018,278.1131
20-04-2018,279.6608
19-04-2018,279.9134
18-04-2018,279.2746
17-04-2018,278.3448
16-04-2018,277.9917
13-04-2018,276.4743
12-04-2018,277.9255
11-04-2018,276.95
10-04-2018,274.5172
09-04-2018,273.1148
06-04-2018,272.8263
05-04-2018,273.3344
04-04-2018,276.1871
03-04-2018,274.9833
28-03-2018,275.9306
27-03-2018,276.4045
26-03-2018,276.4129
23-03-2018,276.1888
22-03-2018,273.4186
21-03-2018,271.6853
20-03-2018,270.9598
19-03-2018,270.1653
16-03-2018,271.1195
15-03-2018,272.154
14-03-2018,272.6507
13-03-2018,271.3829
12-03-2018,271.3595
09-03-2018,271.9922
08-03-2018,272.528
07-03-2018,274.0093
06-03-2018,272.7356
05-03-2018,273.2169
01-03-2018,270.61
28-02-2018,272.0172
27-02-2018,273.3796
26-02-2018,273.8358
23-02-2018,272.5737
22-02-2018,272.4259
21-02-2018,272.5081
20-02-2018,273.0327
16-02-2018,274.5512
15-02-2018,273.7432
14-02-2018,270.341
12-02-2018,269.2963
09-02-2018,268.5869
08-02-2018,266.8939
07-02-2018,269.9978
06-02-2018,273.4708
05-02-2018,271.1588
02-02-2018,272.7929
01-02-2018,270.4084
31-01-2018,271.1187
30-01-2018,271.4417
29-01-2018,271.1447
25-01-2018,273.1098
24-01-2018,271.9039
23-01-2018,269.9572
22-01-2018,269.8679
19-01-2018,269.5165
18-01-2018,268.7903
17-01-2018,270.7084
16-01-2018,269.4387
15-01-2018,268.8653
12-01-2018,267.4929
11-01-2018,265.9241
10-01-2018,266.6012
09-01-2018,264.0401
08-01-2018,264.2911
05-01-2018,264.2817
04-01-2018,263.7155
03-01-2018,264.2332
02-01-2018,264.6275
01-01-2018,261.6539
29-12-2017,262.6358
28-12-2017,261.9342
27-12-2017,260.7526
26-12-2017,257.1974
22-12-2017,257.183
21-12-2017,257.1455
20-12-2017,257.033
19-12-2017,256.7459
18-12-2017,255.8867
15-12-2017,256.2181
14-12-2017,256.5858
13-12-2017,254.6324
12-12-2017,255.0828
11-12-2017,256.1308
08-12-2017,255.5011
07-12-2017,258.1012
06-12-2017,259.946
05-12-2017,261.0537
04-12-2017,261.6647
30-11-2017,262.456
29-11-2017,264.523
28-11-2017,264.4111
27-11-2017,265.5736
24-11-2017,264.7107
23-11-2017,265.1479
22-11-2017,263.8093
21-11-2017,264.1619
20-11-2017,266.5377
17-11-2017,264.204
16-11-2017,264.4192
15-11-2017,266.1293
14-11-2017,264.4316
13-11-2017,264.9925
10-11-2017,264.6313
09-11-2017,264.121
08-11-2017,264.402
07-11-2017,262.3832
06-11-2017,261.2178
03-11-2017,261.3788
02-11-2017,261.8214
01-11-2017,262.11
31-10-2017,262.4966
30-10-2017,262.7804
27-10-2017,262.4636
26-10-2017,263.2595
25-10-2017,263.6177
24-10-2017,263.8342
23-10-2017,263.6346
18-10-2017,264.872
17-10-2017,266.0422
16-10-2017,268.3187
13-10-2017,266.7638
12-10-2017,267.5066
11-10-2017,267.3469
10-10-2017,267.2285
09-10-2017,265.9984
06-10-2017,263.121
05-10-2017,264.6375
04-10-2017,264.5307
03-10-2017,264.5905
29-09-2017,268.0371
28-09-2017,269.0438
27-09-2017,270.1294
26-09-2017,271.7359
25-09-2017,267.7397
22-09-2017,268.5054
21-09-2017,266.7612
20-09-2017,269.4084
19-09-2017,267.5219
18-09-2017,268.0981
15-09-2017,269.8656
14-09-2017,269.4747
13-09-2017,270.8497
12-09-2017,269.6245
11-09-2017,271.6913
08-09-2017,273.8696
07-09-2017,272.6804
06-09-2017,273.3545
05-09-2017,271.3265
04-09-2017,271.7031
01-09-2017,268.4944
31-08-2017,266.3175
30-08-2017,266.514
29-08-2017,269.158
28-08-2017,261.9314
24-08-2017,262.4834
23-08-2017,262.8135
22-08-2017,262.5086
21-08-2017,262.6758
18-08-2017,264.3931
16-08-2017,260.0562
14-08-2017,260.8738
11-08-2017,262.7569
10-08-2017,260.2008
09-08-2017,257.486
08-08-2017,256.2632
07-08-2017,255.5536
04-08-2017,257.6271
03-08-2017,256.2254
02-08-2017,258.7173
01-08-2017,258.7962
31-07-2017,258.7077
28-07-2017,256.8672
27-07-2017,257.2287
26-07-2017,255.2453
25-07-2017,256.2462
24-07-2017,257.2937
21-07-2017,255.2589
20-07-2017,253.8443
19-07-2017,254.0833
18-07-2017,253.6158
17-07-2017,252.4152
14-07-2017,251.2167
13-07-2017,251.6224
12-07-2017,251.4653
11-07-2017,250.1054
10-07-2017,249.4403
07-07-2017,252.5191
06-07-2017,253.2175
05-07-2017,252.5794
04-07-2017,253.36
03-07-2017,255.1743
30-06-2017,259.9625
29-06-2017,260.3044
28-06-2017,261.4578
27-06-2017,260.98
23-06-2017,262.4065
22-06-2017,261.3441
21-06-2017,260.9267
20-06-2017,260.3384
19-06-2017,260.888
16-06-2017,262.7126
15-06-2017,262.0449
14-06-2017,263.6779
13-06-2017,262.8656
12-06-2017,263.9803
09-06-2017,264.6361
08-06-2017,266.9864
07-06-2017,268.8497
06-06-2017,267.5609
05-06-2017,266.2147
02-06-2017,262.7962
01-06-2017,263.9463
31-05-2017,263.7909
30-05-2017,263.3202
29-05-2017,263.4581
26-05-2017,263.6223
25-05-2017,261.8249
24-05-2017,262.0296
23-05-2017,263.3493
22-05-2017,261.699
19-05-2017,262.6466
18-05-2017,261.997
17-05-2017,257.681
16-05-2017,255.9118
15-05-2017,256.2071
12-05-2017,256.2221
11-05-2017,255.4124
09-05-2017,256.454
08-05-2017,256.2717
05-05-2017,258.4529
04-05-2017,257.6175
03-05-2017,260.7769
02-05-2017,261.3742
28-04-2017,263.2768
27-04-2017,262.9155
26-04-2017,262.6273
25-04-2017,264.7023
24-04-2017,265.6926
21-04-2017,267.9002
20-04-2017,267.9911
19-04-2017,268.0598
18-04-2017,268.7054
17-04-2017,268.3168
13-04-2017,267.5175
12-04-2017,266.3283
11-04-2017,262.6484
10-04-2017,261.8849
07-04-2017,263.7447
06-04-2017,264.0333
05-04-2017,264.041
03-04-2017,262.3795
31-03-2017,261.2778
30-03-2017,262.502
29-03-2017,262.9732
28-03-2017,263.6159
27-03-2017,264.2433
24-03-2017,263.1536
23-03-2017,263.7767
22-03-2017,263.6812
21-03-2017,260.357
20-03-2017,260.8031
17-03-2017,260.583
16-03-2017,259.956
15-03-2017,257.0388
14-03-2017,259.6445
10-03-2017,260.101
09-03-2017,261.9729
08-03-2017,263.2034
07-03-2017,265.2367
06-03-2017,267.1372
03-03-2017,266.9784
02-03-2017,269.5772
01-03-2017,270.5067
28-02-2017,271.254
27-02-2017,271.4902
23-02-2017,268.2269
22-02-2017,268.7339
20-02-2017,268.3741
17-02-2017,269.8395
16-02-2017,268.7788
15-02-2017,265.6372
14-02-2017,266.6166
13-02-2017,266.6562
10-02-2017,265.8572
09-02-2017,269.2797
08-02-2017,269.1442
07-02-2017,268.4739
06-02-2017,266.0553
03-02-2017,265.0092
02-02-2017,267.6848
01-02-2017,265.6149
31-01-2017,263.9866
30-01-2017,263.2789
27-01-2017,262.737
25-01-2017,266.4445
24-01-2017,268.4179
23-01-2017,268.2566
20-01-2017,265.3668
19-01-2017,266.4253
18-01-2017,267.4083
17-01-2017,268.8231
16-01-2017,266.2557
13-01-2017,263.963
12-01-2017,265.5187
11-01-2017,262.2045
10-01-2017,260.7724
09-01-2017,259.7842
06-01-2017,259.377
05-01-2017,257.7794
04-01-2017,257.7034
03-01-2017,253.945
02-01-2017,255.8238
30-12-2016,255.6156
29-12-2016,254.1299
28-12-2016,253.0653
27-12-2016,250.5602
26-12-2016,250.0235
23-12-2016,250.3074
22-12-2016,250.2314
21-12-2016,250.8692
20-12-2016,250.6245
19-12-2016,251.0329
16-12-2016,250.6804
15-12-2016,251.0754
14-12-2016,255.9415
13-12-2016,254.9839
09-12-2016,257.6384
08-12-2016,258.2839
07-12-2016,259.1081
06-12-2016,259.6524
05-12-2016,258.8843
02-12-2016,260.9439
01-12-2016,260.1656
30-11-2016,264.9729
29-11-2016,265.406
28-11-2016,266.028
25-11-2016,264.8158
24-11-2016,265.4497
23-11-2016,270.0661
22-11-2016,270.0594
21-11-2016,269.6382
18-11-2016,267.3046
17-11-2016,271.3849
16-11-2016,269.6609
15-11-2016,271.3624
11-11-2016,274.1757
10-11-2016,276.8894
09-11-2016,282.9341
08-11-2016,278.5693
07-11-2016,279.2128
04-11-2016,282.1288
03-11-2016,280.3057
02-11-2016,281.3884
01-11-2016,278.7151
28-10-2016,275.39
27-10-2016,276.1748
26-10-2016,276.6253
25-10-2016,276.1623
24-10-2016,275.6612
21-10-2016,275.2039
20-10-2016,275.6528
19-10-2016,275.6694
18-10-2016,274.1338
17-10-2016,272.574
14-10-2016,274.6932
13-10-2016,275.0623
10-10-2016,274.9196
07-10-2016,274.2991
06-10-2016,275.8935
05-10-2016,277.3348
04-10-2016,284.1783
03-10-2016,285.9614
30-09-2016,288.2957
29-09-2016,286.6306
28-09-2016,287.0075
27-09-2016,289.2356
26-09-2016,290.3048
23-09-2016,290.0261
22-09-2016,290.117
21-09-2016,288.4448
20-09-2016,287.4569
19-09-2016,286.8292
16-09-2016,286.7238
15-09-2016,288.3794
14-09-2016,288.7638
12-09-2016,289.3848
09-09-2016,289.6167
08-09-2016,291.6571
07-09-2016,291.4686
06-09-2016,288.5475
02-09-2016,286.0813
01-09-2016,285.3237
31-08-2016,287.1645
30-08-2016,289.2274
29-08-2016,290.7958
26-08-2016,290.2313
25-08-2016,290.3865
24-08-2016,293.1009
23-08-2016,293.1754
22-08-2016,292.7692
19-08-2016,294.2303
18-08-2016,293.7489
16-08-2016,294.5764
12-08-2016,291.6202
11-08-2016,293.3021
10-08-2016,294.2992
09-08-2016,291.4413
08-08-2016,290.0035
05-08-2016,296.7402
04-08-2016,295.18
03-08-2016,297.7723
02-08-2016,295.8437
01-08-2016,293.9425
29-07-2016,291.9023
28-07-2016,293.3461
27-07-2016,290.0068
26-07-2016,290.6192
25-07-2016,288.9002
22-07-2016,290.1337
21-07-2016,290.191
20-07-2016,290.7908
19-07-2016,292.0062
18-07-2016,290.6414
15-07-2016,291.3879
14-07-2016,289.852
13-07-2016,293.8861
12-07-2016,296.1638
11-07-2016,297.2248
08-07-2016,298.0915
07-07-2016,300.447
05-07-2016,295.5769
04-07-2016,295.5128
01-07-2016,293.1775
30-06-2016,290.9343
29-06-2016,290.8142
28-06-2016,290.2251
27-06-2016,292.8124
24-06-2016,291.128
23-06-2016,279.0634
22-06-2016,279.6216
21-06-2016,282.479
20-06-2016,282.7179
17-06-2016,282.079
16-06-2016,286.8005
15-06-2016,281.5372
14-06-2016,279.6368
13-06-2016,280.2799
10-06-2016,275.7921
09-06-2016,273.5405
08-06-2016,272.7924
07-06-2016,270.9157
06-06-2016,271.2954
03-06-2016,266.4765
02-06-2016,267.3267
01-06-2016,267.841
31-05-2016,266.1688
30-05-2016,270.1648
27-05-2016,269.1822
26-05-2016,271.0737
25-05-2016,270.491
24-05-2016,275.8107
23-05-2016,276.0492
20-05-2016,277.505
19-05-2016,275.9524
18-05-2016,278.1738
17-05-2016,277.3101
16-05-2016,279.8406
13-05-2016,277.9688
12-05-2016,276.0121
11-05-2016,277.0787
10-05-2016,275.816
09-05-2016,277.2926
06-05-2016,278.358
05-05-2016,277.1095
04-05-2016,278.1201
03-05-2016,280.2836
02-05-2016,276.2577
29-04-2016,276.9393
28-04-2016,273.0077
27-04-2016,271.2094
26-04-2016,269.8831
25-04-2016,268.9898
22-04-2016,271.1744
21-04-2016,273.079
20-04-2016,270.9549
18-04-2016,270.5629
13-04-2016,270.9295
12-04-2016,273.822
11-04-2016,271.1292
07-04-2016,269.507
06-04-2016,267.6036
05-04-2016,267.7936
04-04-2016,264.2728
31-03-2016,268.2741
30-03-2016,269.5972
29-03-2016,265.8674
28-03-2016,266.2719
23-03-2016,270.1335
22-03-2016,272.8203
21-03-2016,271.2066
18-03-2016,273.6377
17-03-2016,277.8442
16-03-2016,272.416
15-03-2016,271.6924
14-03-2016,275.4953
11-03-2016,276.8874
10-03-2016,273.7868
09-03-2016,277.5125
08-03-2016,280.2109
04-03-2016,279.4745
03-03-2016,274.3577
02-03-2016,273.0326
01-03-2016,276.8492
29-02-2016,277.3525
26-02-2016,277.5892
25-02-2016,277.8394
24-02-2016,277.0837
23-02-2016,274.6256
22-02-2016,271.2476
18-02-2016,271.0336
17-02-2016,270.9853
16-02-2016,272.023
15-02-2016,269.6129
12-02-2016,277.0098
11-02-2016,272.1983
10-02-2016,263.6972
09-02-2016,264.1157
08-02-2016,259.7999
05-02-2016,256.2024
04-02-2016,254.3261
03-02-2016,252.3206
02-02-2016,249.8734
01-02-2016,249.022
29-01-2016,247.8928
28-01-2016,249.2991
27-01-2016,248.4535
25-01-2016,244.7885
22-01-2016,243.9412
21-01-2016,244.4721
20-01-2016,243.4861
19-01-2016,240.9094
18-01-2016,241.6876
15-01-2016,238.7598
14-01-2016,239.602
13-01-2016,237.0105
12-01-2016,239.7667
11-01-2016,241.391
08-01-2016,239.5891
07-01-2016,240.0161
06-01-2016,236.9879
05-01-2016,235.2801
04-01-2016,233.9894
01-01-2016,231.0563
31-12-2015,231.5297
30-12-2015,233.0669
29-12-2015,232.7936
28-12-2015,232.977
23-12-2015,233.1368
22-12-2015,234.5312
21-12-2015,233.47
18-12-2015,230.6768
17-12-2015,233.4998
16-12-2015,234.1134
15-12-2015,235.2259
14-12-2015,234.8473
11-12-2015,234.0501
10-12-2015,235.0214
09-12-2015,236.1665
08-12-2015,235.0108
07-12-2015,236.634
04-12-2015,233.4254
03-12-2015,230.5076
02-12-2015,233.3321
01-12-2015,233.4927
30-11-2015,231.747
27-11-2015,233.9848
26-11-2015,234.5154
24-11-2015,234.4914
23-11-2015,233.4715
20-11-2015,235.9765
19-11-2015,233.5036
18-11-2015,233.0108
17-11-2015,234.61
16-11-2015,237.9128
13-11-2015,235.7258
10-11-2015,238.1477
09-11-2015,239.9291
06-11-2015,240.5318
05-11-2015,239.7694
04-11-2015,241.5059
03-11-2015,243.6313
02-11-2015,244.692
30-10-2015,246.1619
29-10-2015,248.6627
28-10-2015,250.702
27-10-2015,249.3027
26-10-2015,249.8578
23-10-2015,250.1941
21-10-2015,251.7003
20-10-2015,250.6634
19-10-2015,250.0214
16-10-2015,251.48
15-10-2015,251.732
14-10-2015,250.8884
13-10-2015,246.8521
12-10-2015,247.7287
09-10-2015,245.5101
08-10-2015,245.2054
07-10-2015,246.4451
06-10-2015,244.7706
05-10-2015,243.9439
01-10-2015,241.2544
30-09-2015,243.0938
29-09-2015,244.4128
28-09-2015,246.6012
24-09-2015,246.0957
23-09-2015,243.7379
22-09-2015,243.5088
21-09-2015,245.4183
18-09-2015,245.8567
16-09-2015,242.5624
15-09-2015,242.1672
14-09-2015,242.4445
11-09-2015,242.1933
10-09-2015,243.1263
09-09-2015,245.0429
08-09-2015,245.8014
07-09-2015,246.2846
04-09-2015,245.9632
03-09-2015,245.9991
02-09-2015,247.7451
01-09-2015,248.4537
31-08-2015,245.009
28-08-2015,244.2763
27-08-2015,244.8043
26-08-2015,246.3082
25-08-2015,252.0978
24-08-2015,251.2717
21-08-2015,248.149
20-08-2015,243.4369
19-08-2015,240.6307
17-08-2015,239.3924
14-08-2015,238.4283
13-08-2015,237.8818
12-08-2015,237.4695
11-08-2015,234.6254
10-08-2015,229.7623
07-08-2015,229.2816
06-08-2015,227.8506
05-08-2015,228.3216
04-08-2015,229.8625
03-08-2015,230.0456
31-07-2015,227.7404
30-07-2015,228.8156
29-07-2015,230.5706
28-07-2015,230.792
27-07-2015,231.2911
24-07-2015,228.1235
23-07-2015,232.3014
22-07-2015,230.782
21-07-2015,233.3105
20-07-2015,234.3125
17-07-2015,239.4329
16-07-2015,239.9003
15-07-2015,241.7202
14-07-2015,241.8149
13-07-2015,242.0419
10-07-2015,243.1736
09-07-2015,243.5653
08-07-2015,242.2955
07-07-2015,243.9091
06-07-2015,244.2462
03-07-2015,244.3912
02-07-2015,244.3677
01-07-2015,245.9579
30-06-2015,247.2419
29-06-2015,248.1035
26-06-2015,246.6298
25-06-2015,246.703
24-06-2015,247.0966
23-06-2015,248.4775
22-06-2015,249.982
19-06-2015,251.9551
18-06-2015,252.1155
17-06-2015,249.3409
16-06-2015,250.1671
15-06-2015,249.2145
12-06-2015,249.2281
11-06-2015,248.9837
10-06-2015,250.0246
09-06-2015,249.2593
08-06-2015,248.4274
05-06-2015,248.1738
04-06-2015,250.259
03-06-2015,249.9052
02-06-2015,250.2563
01-06-2015,249.1905
29-05-2015,251.1482
28-05-2015,251.4706
27-05-2015,251.3379
26-05-2015,252.153
25-05-2015,254.5948
22-05-2015,254.4362
21-05-2015,254.6569
20-05-2015,254.7194
19-05-2015,256.5342
18-05-2015,257.671
15-05-2015,255.2256
14-05-2015,255.88
13-05-2015,252.9967
12-05-2015,251.4102
11-05-2015,250.2266
08-05-2015,251.0518
07-05-2015,249.5015
06-05-2015,250.2362
05-05-2015,249.075
30-04-2015,252.2254
29-04-2015,250.9749
28-04-2015,250.8006
27-04-2015,248.2774
24-04-2015,249.3321
23-04-2015,247.7419
22-04-2015,249.1937
21-04-2015,248.6839
20-04-2015,248.4507
17-04-2015,247.9331
16-04-2015,248.1237
15-04-2015,245.325
13-04-2015,246.7775
10-04-2015,247.4708
09-04-2015,245.9866
08-04-2015,249.064
07-04-2015,248.5967
06-04-2015,246.6764
31-03-2015,243.4354
30-03-2015,245.1053
27-03-2015,247.0249
26-03-2015,249.401
25-03-2015,245.0771
24-03-2015,244.7044
23-03-2015,242.8263
20-03-2015,241.77
19-03-2015,240.0103
18-03-2015,238.0848
17-03-2015,239.2373
16-03-2015,240.114
13-03-2015,240.6167
12-03-2015,241.1422
11-03-2015,241.3011
10-03-2015,241.568
09-03-2015,243.6744
05-03-2015,247.0801
04-03-2015,246.6729
03-03-2015,247.2709
02-03-2015,248.8907
27-02-2015,246.8605
26-02-2015,250.18
25-02-2015,248.0756
24-02-2015,246.8624
23-02-2015,246.1687
20-02-2015,248.3054
18-02-2015,248.7082
16-02-2015,253.5888
13-02-2015,252.828
12-02-2015,253.8208
11-02-2015,254.7188
10-02-2015,254.3931
09-02-2015,255.9411
06-02-2015,258.4732
05-02-2015,258.8991
04-02-2015,259.1839
03-02-2015,261.5851
02-02-2015,260.9
30-01-2015,258.4534
29-01-2015,259.0332
28-01-2015,260.8122
27-01-2015,259.5548
23-01-2015,262.3867
22-01-2015,261.9393
21-01-2015,263.6782
20-01-2015,263.5298
19-01-2015,259.8699
16-01-2015,257.4408
15-01-2015,252.7186
14-01-2015,252.9761
13-01-2015,254.7006
12-01-2015,251.7637
09-01-2015,250.6393
08-01-2015,251.8268
07-01-2015,254.9552
06-01-2015,254.2067
05-01-2015,250.6236
02-01-2015,248.8171
01-01-2015,251.8056
31-12-2014,251.8498
30-12-2014,251.1743
29-12-2014,252.2699
26-12-2014,248.9878
24-12-2014,248.3884
23-12-2014,248.8207
22-12-2014,250.8435
19-12-2014,250.9015
18-12-2014,253.7981
17-12-2014,252.5324
16-12-2014,251.9846
15-12-2014,250.933
12-12-2014,252.5739
11-12-2014,250.9699
10-12-2014,251.6647
09-12-2014,247.3666
08-12-2014,245.4701
05-12-2014,246.9483
04-12-2014,246.9858
03-12-2014,246.8885
02-12-2014,245.8771
01-12-2014,243.2498
28-11-2014,243.1539
27-11-2014,244.999
26-11-2014,244.8698
25-11-2014,246.2753
24-11-2014,244.6215
21-11-2014,244.3865
20-11-2014,245.1869
19-11-2014,245.4541
18-11-2014,245.6205
17-11-2014,242.3857
14-11-2014,236.9767
13-11-2014,237.958
12-11-2014,238.1093
11-11-2014,236.1498
10-11-2014,239.641
07-11-2014,234.9198
05-11-2014,234.5788
03-11-2014,239.3775
31-10-2014,240.4449
30-10-2014,246.6422
29-10-2014,250.2139
28-10-2014,250.3958
27-10-2014,250.3609
22-10-2014,253.4085
21-10-2014,254.5656
20-10-2014,252.5591
17-10-2014,253.254
16-10-2014,253.402
14-10-2014,250.2602
13-10-2014,249.8583
10-10-2014,248.5166
09-10-2014,249.0243
08-10-2014,249.227
07-10-2014,246.5443
